yyyy,mm,dd,hh,wh(m),q(m3/s)
2016,8,2,0,737.707,4.005
2016,8,2,1,737.709,4.03
2016,8,2,2,737.709,4.03
2016,8,2,3,737.71,4.043
2016,8,2,4,737.71,4.043
2016,8,2,5,737.71,4.043
2016,8,2,6,737.711,4.055
2016,8,2,7,737.711,4.055
2016,8,2,8,737.711,4.055
2016,8,2,9,737.711,4.055
2016,8,2,10,737.71,4.043
2016,8,2,11,737.71,4.043
2016,8,2,12,737.71,4.043
2016,8,2,13,737.71,4.043
2016,8,2,14,737.71,4.043
2016,8,2,15,737.709,4.03
2016,8,2,16,737.708,4.018
2016,8,2,17,737.708,4.018
2016,8,2,18,737.707,4.005
2016,8,2,19,737.707,4.005
2016,8,2,20,737.707,4.005
2016,8,2,21,737.707,4.005
2016,8,2,22,737.707,4.005
2016,8,2,23,737.707,4.005
2016,8,3,0,737.706,3.993
2016,8,3,1,737.706,3.993
2016,8,3,2,737.704,3.969
2016,8,3,3,737.704,3.969
2016,8,3,4,737.704,3.969
2016,8,3,5,737.703,3.957
2016,8,3,6,737.701,3.932
2016,8,3,7,737.701,3.932
2016,8,3,8,737.7,3.92
2016,8,3,9,737.699,3.908
2016,8,3,10,737.698,3.896
2016,8,3,11,737.697,3.884
2016,8,3,12,737.697,3.884
2016,8,3,13,737.696,3.872
2016,8,3,14,737.695,3.86
2016,8,3,15,737.694,3.847
2016,8,3,16,737.694,3.847
2016,8,3,17,737.692,3.824
2016,8,3,18,737.691,3.811
2016,8,3,19,737.69,3.8
2016,8,3,20,737.688,3.776
2016,8,3,21,737.686,3.752
2016,8,3,22,737.685,3.74
2016,8,3,23,737.684,3.729
2016,8,4,0,737.683,3.716
2016,8,4,1,737.681,3.693
2016,8,4,2,737.679,3.67
2016,8,4,3,737.678,3.658
2016,8,4,4,737.677,3.646
2016,8,4,5,737.675,3.623
2016,8,4,6,737.674,3.611
2016,8,4,7,737.673,3.599
2016,8,4,8,737.672,3.588
2016,8,4,9,737.671,3.577
2016,8,4,10,737.669,3.553
2016,8,4,11,737.668,3.542
2016,8,4,12,737.667,3.53
2016,8,4,13,737.666,3.519
2016,8,4,14,737.665,3.507
2016,8,4,15,737.663,3.485
2016,8,4,16,737.661,3.462
2016,8,4,17,737.66,3.45
2016,8,4,18,737.658,3.428
2016,8,4,19,737.656,3.405
2016,8,4,20,737.654,3.382
2016,8,4,21,737.653,3.371
2016,8,4,22,737.652,3.36
2016,8,4,23,737.651,3.349
2016,8,5,0,737.649,3.326
2016,8,5,1,737.648,3.315
2016,8,5,2,737.646,3.293
2016,8,5,3,737.646,3.293
2016,8,5,4,737.643,3.26
2016,8,5,5,737.643,3.26
2016,8,5,6,737.641,3.238
2016,8,5,7,737.64,3.227
2016,8,5,8,737.638,3.205
2016,8,5,9,737.637,3.194
2016,8,5,10,737.635,3.172
2016,8,5,11,737.634,3.161
2016,8,5,12,737.632,3.14
2016,8,5,13,737.631,3.129
2016,8,5,14,737.629,3.108
2016,8,5,15,737.628,3.096
2016,8,5,16,737.627,3.086
2016,8,5,17,737.626,3.075
2016,8,5,18,737.625,3.064
2016,8,5,19,737.623,3.043
2016,8,5,20,737.622,3.032
2016,8,5,21,737.622,3.032
2016,8,5,22,737.621,3.021
2016,8,5,23,737.619,3.001
2016,8,6,0,737.618,2.99
2016,8,6,1,737.617,2.98
2016,8,6,2,737.616,2.969
2016,8,6,3,737.614,2.948
2016,8,6,4,737.614,2.948
2016,8,6,5,737.612,2.927
2016,8,6,6,737.611,2.917
2016,8,6,7,737.609,2.896
2016,8,6,8,737.609,2.896
2016,8,6,9,737.608,2.885
2016,8,6,10,737.605,2.854
2016,8,6,11,737.605,2.854
2016,8,6,12,737.603,2.834
2016,8,6,13,737.602,2.824
2016,8,6,14,737.601,2.814
2016,8,6,15,737.599,2.793
2016,8,6,16,737.597,2.773
2016,8,6,17,737.597,2.773
2016,8,6,18,737.596,2.763
2016,8,6,19,737.595,2.752
2016,8,6,20,737.594,2.742
2016,8,6,21,737.594,2.742
2016,8,6,22,737.592,2.722
2016,8,6,23,737.591,2.712
2016,8,7,0,737.589,2.692
2016,8,7,1,737.589,2.692
2016,8,7,2,737.589,2.692
2016,8,7,3,737.585,2.653
2016,8,7,4,737.585,2.653
2016,8,7,5,737.585,2.653
2016,8,7,6,737.583,2.633
2016,8,7,7,737.582,2.622
2016,8,7,8,737.582,2.622
2016,8,7,9,737.582,2.622
2016,8,7,10,737.582,2.622
2016,8,7,11,737.58,2.603
2016,8,7,12,737.58,2.603
2016,8,7,13,737.58,2.603
2016,8,7,14,737.58,2.603
2016,8,7,15,737.582,2.622
2016,8,7,16,737.58,2.603
2016,8,7,17,737.576,2.564
2016,8,7,18,737.574,2.544
2016,8,7,19,737.572,2.525
2016,8,7,20,737.572,2.525
2016,8,7,21,737.571,2.515
2016,8,7,22,737.57,2.506
2016,8,7,23,737.569,2.496
2016,8,8,0,737.569,2.496
2016,8,8,1,737.568,2.487
2016,8,8,2,737.564,2.449
2016,8,8,3,737.562,2.43
2016,8,8,4,737.561,2.42
2016,8,8,5,737.564,2.452
2016,8,8,6,737.563,2.441
2016,8,8,7,737.562,2.429
2016,8,8,8,737.562,2.429
2016,8,8,9,737.561,2.417
2016,8,8,10,737.561,2.417
2016,8,8,11,737.556,2.406
2016,8,8,12,737.556,2.406
2016,8,8,13,737.562,2.429
2016,8,8,14,737.561,2.417
2016,8,8,15,737.561,2.417
2016,8,8,16,737.561,2.42
2016,8,8,17,737.563,2.439
2016,8,8,18,737.564,2.449
2016,8,8,19,737.563,2.439
2016,8,8,20,737.562,2.43
2016,8,8,21,737.561,2.42
2016,8,8,22,737.562,2.43
2016,8,8,23,737.562,2.43
2016,8,9,0,737.563,2.439
2016,8,9,1,737.564,2.449
2016,8,9,2,737.565,2.458
2016,8,9,3,737.566,2.467
2016,8,9,4,737.566,2.467
2016,8,9,5,737.569,2.496
2016,8,9,6,737.57,2.506
2016,8,9,7,737.572,2.525
2016,8,9,8,737.575,2.554
2016,8,9,9,737.578,2.583
2016,8,9,10,737.579,2.593
2016,8,9,11,737.58,2.603
2016,8,9,12,737.581,2.613
2016,8,9,13,737.582,2.622
2016,8,9,14,737.584,2.642
2016,8,9,15,737.585,2.653
2016,8,9,16,737.586,2.662
2016,8,9,17,737.587,2.672
2016,8,9,18,737.59,2.702
2016,8,9,19,737.592,2.722
2016,8,9,20,737.595,2.752
2016,8,9,21,737.597,2.773
2016,8,9,22,737.6,2.803
2016,8,9,23,737.601,2.814
2016,8,10,0,737.601,2.814
2016,8,10,1,737.603,2.834
2016,8,10,2,737.604,2.844
2016,8,10,3,737.606,2.865
2016,8,10,4,737.606,2.865
2016,8,10,5,737.606,2.865
2016,8,10,6,737.607,2.875
2016,8,10,7,737.609,2.896
2016,8,10,8,737.61,2.906
2016,8,10,9,737.611,2.917
2016,8,10,10,737.611,2.917
2016,8,10,11,737.612,2.927
2016,8,10,12,737.612,2.927
2016,8,10,13,737.612,2.927
2016,8,10,14,737.614,2.948
2016,8,10,15,737.614,2.948
2016,8,10,16,737.615,2.958
2016,8,10,17,737.616,2.969
2016,8,10,18,737.617,2.98
2016,8,10,19,737.617,2.98
2016,8,10,20,737.617,2.98
2016,8,10,21,737.617,2.98
2016,8,10,22,737.617,2.98
2016,8,10,23,737.617,2.98
2016,8,11,0,737.617,2.98
2016,8,11,1,737.617,2.98
2016,8,11,2,737.617,2.98
2016,8,11,3,737.617,2.98
2016,8,11,4,737.617,2.98
2016,8,11,5,737.617,2.98
2016,8,11,6,737.617,2.98
2016,8,11,7,737.617,2.98
2016,8,11,8,737.617,2.98
2016,8,11,9,737.617,2.98
2016,8,11,10,737.617,2.98
2016,8,11,11,737.617,2.98
2016,8,11,12,737.616,2.969
2016,8,11,13,737.616,2.969
2016,8,11,14,737.614,2.948
2016,8,11,15,737.614,2.948
2016,8,11,16,737.614,2.948
2016,8,11,17,737.613,2.937
2016,8,11,18,737.612,2.927
2016,8,11,19,737.612,2.927
2016,8,11,20,737.612,2.927
2016,8,11,21,737.611,2.917
2016,8,11,22,737.611,2.917
2016,8,11,23,737.61,2.906
2016,8,12,0,737.61,2.906
2016,8,12,1,737.609,2.896
2016,8,12,2,737.609,2.896
2016,8,12,3,737.608,2.885
2016,8,12,4,737.608,2.885
2016,8,12,5,737.605,2.854
2016,8,12,6,737.605,2.854
2016,8,12,7,737.605,2.854
2016,8,12,8,737.604,2.844
2016,8,12,9,737.603,2.834
2016,8,12,10,737.603,2.834
2016,8,12,11,737.603,2.834
2016,8,12,12,737.603,2.834
2016,8,12,13,737.603,2.834
2016,8,12,14,737.603,2.834
2016,8,12,15,737.6,2.803
2016,8,12,16,737.599,2.793
2016,8,12,17,737.599,2.793
2016,8,12,18,737.601,2.814
2016,8,12,19,737.601,2.814
2016,8,12,20,737.601,2.814
2016,8,12,21,737.604,2.844
2016,8,12,22,737.604,2.844
2016,8,12,23,737.604,2.844
2016,8,13,0,737.604,2.844
2016,8,13,1,737.605,2.854
2016,8,13,2,737.606,2.865
2016,8,13,3,737.607,2.875
2016,8,13,4,737.61,2.906
2016,8,13,5,737.611,2.917
2016,8,13,6,737.614,2.948
2016,8,13,7,737.615,2.958
2016,8,13,8,737.617,2.98
